model,corruption,severity,roc_auc,delta,f1
lesion_mil,none,0.0,0.9449115894676148,0.0,0.865021770682148
lesion_mil,blur,0.5,0.9395180665000961,-0.005393522967518716,0.8558823529411764
lesion_mil,blur,1.0,0.9358342943173811,-0.0090772951502337,0.8470588235294119
lesion_mil,noise,0.5,0.9415561535011852,-0.0033554359664296207,0.8571428571428571
lesion_mil,noise,1.0,0.9387652956627587,-0.0061462938048560956,0.8583941605839417
lesion_mil,contrast,0.5,0.9434621051957204,-0.0014494842718943968,0.8604992657856095
lesion_mil,contrast,1.0,0.9409755589723876,-0.003936030495227172,0.8541973490427099
lesion_mil,occlusion,0.5,0.9429575885706964,-0.0019540008969183287,0.862914862914863
lesion_mil,occlusion,1.0,0.9380605740278045,-0.00685101543981026,0.8526011560693642
lesion_mil,downres,0.5,0.9362467166378372,-0.00866487282977757,0.8543689320388351
lesion_mil,downres,1.0,0.9335879941059645,-0.011323595361650285,0.8520055325034578
mr_mil,none,0.0,0.9935934396822346,0.0,0.9565217391304347
mr_mil,blur,0.5,0.995082964956115,0.0014895252738804654,0.9550898203592814
mr_mil,blur,1.0,0.9951790633608815,0.001585623678646897,0.959641255605381
mr_mil,noise,0.5,0.9942220834134153,0.0006286437311807669,0.9548192771084336
mr_mil,noise,1.0,0.9940178743032866,0.0004244346210520167,0.9467275494672754
mr_mil,contrast,0.5,0.993629476584022,3.603690178743957e-05,0.9597615499254845
mr_mil,contrast,1.0,0.9944663335255302,0.0008728938432955857,0.9644970414201183
mr_mil,occlusion,0.5,0.9937295790889872,0.00013613940675261116,0.9552238805970149
mr_mil,occlusion,1.0,0.993064898456019,-0.0005285412262155953,0.9583333333333333
mr_mil,downres,0.5,0.9936054519828303,1.2012300595776182e-05,0.9611940298507463
mr_mil,downres,1.0,0.9934933371772695,-0.00010010250496506057,0.9614243323442137
