hamming,val_image,train_image
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/000079.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/000077.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/000331.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/000330.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/000386.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/000355.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/000627.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/000629.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/000885.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/000884.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/001293.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/001292.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/001452.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/001451.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/001566.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/001565.jpg
5,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/001702.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/001703.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/001884.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/001893.jpg
5,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/001990.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/004841.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002114.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002115.jpg
4,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002332.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002333.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002351.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002350.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002376.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002375.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002419.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002418.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002421.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002422.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002424.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002425.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002903.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/002904.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/003086.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/003065.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/003222.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/003223.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/003488.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/003487.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/003824.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/003823.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/004538.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/004537.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/004576.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/004577.jpg
0,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/004957.jpg,/kaggle/input/datasets/abdullahelafifi/main-data/Main data/JPEGImages/004958.jpg
